category,brand,model,price_jib,price_advice,price_ihavecpu,socket,memory_type,wattage,tdp,has_igpu,score_gaming,score_editing,max_m2_slots
CPU,Intel,Core Ultra 9 285K,20400,10000,15100,LGA1851,-,0,125,1,95,95,0
CPU,Intel,Core Ultra 9 285,9017,10000,15100,LGA1851,-,0,65,1,95,95,0
CPU,Intel,Core Ultra 9 285T,15000,14900,15100,LGA1851,-,0,65,1,95,95,0
CPU,Intel,Core Ultra 7 265K,13900,6500,15100,LGA1851,-,0,125,1,95,95,0
CPU,Intel,Core Ultra 7 265KF,12900,9000,15100,LGA1851,-,0,125,0,95,95,0
CPU,Intel,Core Ultra 7 265,13900,6500,15100,LGA1851,-,0,65,1,95,95,0
CPU,Intel,Core Ultra 7 265F,11600,9000,15100,LGA1851,-,0,65,0,95,95,0
CPU,Intel,Core Ultra 7 265T,15000,6500,15100,LGA1851,-,0,65,1,95,95,0
CPU,Intel,Core Ultra 5 245K,7590,14900,6950,LGA1851,-,0,125,1,95,95,0
CPU,Intel,Core Ultra 5 245KF,6990,14900,6950,LGA1851,-,0,125,0,95,95,0
CPU,Intel,Core Ultra 5 245,7590,6590,6950,LGA1851,-,0,65,1,95,95,0
CPU,Intel,Core Ultra 5 235,8990,7750,15100,LGA1851,-,0,65,1,95,95,0
CPU,Intel,Core Ultra 5 225,18277,14900,15100,LGA1851,-,0,65,1,95,95,0
CPU,Intel,Core Ultra 5 225F,15000,14900,15100,LGA1851,-,0,65,0,95,95,0
CPU,Intel,Core i9-14900KS,10000,9900,10100,LGA1700,-,0,125,1,85,85,0
CPU,Intel,Core i9-14900K,10000,6250,15790,LGA1700,-,0,125,1,85,85,0
CPU,Intel,Core i9-14900KF,10000,9900,15790,LGA1700,-,0,125,0,85,85,0
CPU,Intel,Core i9-14900F,15831,4250,10100,LGA1700,-,0,65,0,85,85,0
CPU,Intel,Core i9-14900,15831,9900,15790,LGA1700,-,0,65,1,85,85,0
CPU,Intel,Core i7-14700K,12900,7000,11690,LGA1700,-,0,125,1,85,85,0
CPU,Intel,Core i7-14700KF,12200,6000,11690,LGA1700,-,0,125,0,85,85,0
CPU,Intel,Core i7-14700,12900,6000,10490,LGA1700,-,0,65,1,85,85,0
CPU,Intel,Core i7-14700F,11500,6000,10490,LGA1700,-,0,65,0,85,85,0
CPU,Intel,Core i5-14600K,7890,4500,7790,LGA1700,-,0,125,1,85,85,0
CPU,Intel,Core i5-14600KF,7790,4500,10100,LGA1700,-,0,125,0,85,85,0
CPU,Intel,Core i5-14500,9190,9900,10100,LGA1700,-,0,65,1,85,85,0
CPU,Intel,Core i5-14400,5790,9900,5790,LGA1700,-,0,65,1,85,85,0
CPU,Intel,Core i5-14400F,5790,5250,5790,LGA1700,-,0,65,0,85,85,0
CPU,Intel,Core i3-14100,4190,6500,10100,LGA1700,-,0,65,1,85,85,0
CPU,Intel,Core i3-14100F,10000,9900,10100,LGA1700,-,0,65,0,85,85,0
CPU,Intel,Core i9-13900KS,10000,9900,10100,LGA1700,-,0,125,1,85,85,0
CPU,Intel,Core i9-13900K,10000,9900,10100,LGA1700,-,0,125,1,85,85,0
CPU,Intel,Core i9-13900KF,10000,9900,10100,LGA1700,-,0,125,0,85,85,0
CPU,Intel,Core i9-13900F,10000,4500,10100,LGA1700,-,0,65,0,85,85,0
CPU,Intel,Core i9-13900,10000,9900,10100,LGA1700,-,0,65,1,85,85,0
CPU,Intel,Core i7-13700K,14900,9900,10100,LGA1700,-,0,125,1,85,85,0
CPU,Intel,Core i7-13700KF,13900,9900,10100,LGA1700,-,0,125,0,85,85,0
CPU,Intel,Core i7-13700,14900,9900,10100,LGA1700,-,0,65,1,85,85,0
CPU,Intel,Core i7-13700F,10000,9900,10100,LGA1700,-,0,65,0,85,85,0
CPU,Intel,Core i5-13600K,10000,9900,10100,LGA1700,-,0,125,1,85,85,0
CPU,Intel,Core i5-13600KF,10000,4500,10100,LGA1700,-,0,125,0,85,85,0
CPU,Intel,Core i5-13500,8490,4500,10100,LGA1700,-,0,65,1,85,85,0
CPU,Intel,Core i5-13400,5190,4500,10100,LGA1700,-,0,65,1,85,85,0
CPU,Intel,Core i5-13400F,5190,4500,10100,LGA1700,-,0,65,0,85,85,0
CPU,Intel,Core i3-13100,10000,9900,10100,LGA1700,-,0,65,1,85,85,0
CPU,Intel,Core i3-13100F,10000,9900,10100,LGA1700,-,0,65,0,85,85,0
CPU,Intel,Core i9-12900KS,10000,9900,10100,LGA1700,-,0,125,1,85,85,0
CPU,Intel,Core i9-12900K,10000,9900,10100,LGA1700,-,0,125,1,85,85,0
CPU,Intel,Core i9-12900KF,10000,9900,10100,LGA1700,-,0,125,0,85,85,0
CPU,Intel,Core i9-12900F,10000,9900,10100,LGA1700,-,0,65,0,85,85,0
CPU,Intel,Core i9-12900,10000,5260,10100,LGA1700,-,0,65,1,85,85,0
CPU,Intel,Core i7-12700K,10400,9900,10100,LGA1700,-,0,125,1,85,85,0
CPU,Intel,Core i7-12700KF,10000,9900,10100,LGA1700,-,0,125,0,85,85,0
CPU,Intel,Core i7-12700,10400,5000,10100,LGA1700,-,0,65,1,85,85,0
CPU,Intel,Core i7-12700F,10000,6000,10100,LGA1700,-,0,65,0,85,85,0
CPU,Intel,Core i5-12600K,10000,4500,10100,LGA1700,-,0,125,1,85,85,0
CPU,Intel,Core i5-12600KF,10000,4830,10100,LGA1700,-,0,125,0,85,85,0
CPU,Intel,Core i5-12500,10000,9900,10100,LGA1700,-,0,65,1,85,85,0
CPU,Intel,Core i5-12400,5290,4500,4990,LGA1700,-,0,65,1,85,85,0
CPU,Intel,Core i5-12400F,5290,4830,4990,LGA1700,-,0,65,0,85,85,0
CPU,Intel,Core i3-12100,10000,9900,10100,LGA1700,-,0,65,1,85,85,0
CPU,Intel,Core i3-12100F,10000,9900,10100,LGA1700,-,0,65,0,85,85,0
CPU,AMD,Ryzen 9 9950X,12000,11900,12100,AM5,-,0,105,0,85,80,0
CPU,AMD,Ryzen 9 9900X,15190,5500,12100,AM5,-,0,105,0,85,80,0
CPU,AMD,Ryzen 9 9900,15190,5500,12100,AM5,-,0,65,0,85,80,0
CPU,AMD,Ryzen 9 9700X,12290,6500,12290,AM5,-,0,105,0,85,80,0
CPU,AMD,Ryzen 9 9600X,8990,11900,8590,AM5,-,0,105,0,85,80,0
CPU,AMD,Ryzen 9 9600,8990,11900,8590,AM5,-,0,65,0,85,80,0
CPU,AMD,Ryzen 7 8700G,10100,11900,12100,AM5,-,0,65,1,85,80,0
CPU,AMD,Ryzen 5 8600G,6890,11900,12100,AM5,-,0,65,1,85,80,0
CPU,AMD,Ryzen 5 8500G,5490,5490,5490,AM5,-,0,65,1,85,80,0
CPU,AMD,Ryzen 5 8400F,5490,4950,4890,AM5,-,0,65,0,85,80,0
CPU,AMD,Ryzen 7 8700F,9290,11900,6390,AM5,-,0,65,0,85,80,0
CPU,AMD,Ryzen 9 7950X3D,12000,11900,12100,AM5,-,0,105,0,85,80,0
CPU,AMD,Ryzen 9 7950X,12000,11900,12100,AM5,-,0,105,0,85,80,0
CPU,AMD,Ryzen 9 7900X3D,12000,11900,12100,AM5,-,0,105,0,85,80,0
CPU,AMD,Ryzen 9 7900X,14190,11900,12100,AM5,-,0,105,0,85,80,0
CPU,AMD,Ryzen 9 7900,14190,11900,12100,AM5,-,0,65,0,85,80,0
CPU,AMD,Ryzen 7 7800X3D,15190,13370,12990,AM5,-,0,105,0,85,80,0
CPU,AMD,Ryzen 7 7700X,11890,6000,12100,AM5,-,0,105,0,85,80,0
CPU,AMD,Ryzen 7 7700,11890,11900,12100,AM5,-,0,65,0,85,80,0
CPU,AMD,Ryzen 7 7600X,8190,11900,12100,AM5,-,0,105,0,85,80,0
CPU,AMD,Ryzen 7 7600,8190,6750,12100,AM5,-,0,65,0,85,80,0
CPU,AMD,Ryzen 7 7500F,5490,11900,5090,AM5,-,0,65,0,85,80,0
CPU,AMD,Ryzen 9 5950X,12000,11900,12100,AM4,-,0,105,0,85,80,0
CPU,AMD,Ryzen 9 5900X,12000,11900,12100,AM4,-,0,105,0,85,80,0
CPU,AMD,Ryzen 7 5800X3D,12000,6400,12100,AM4,-,0,105,0,85,80,0
CPU,AMD,Ryzen 7 5800X,12000,4990,12100,AM4,-,0,105,0,85,80,0
CPU,AMD,Ryzen 7 5700X3D,7990,6400,12100,AM4,-,0,105,0,85,80,0
CPU,AMD,Ryzen 7 5700X,7990,5840,12100,AM4,-,0,105,0,85,80,0
